1	0	0	0	1	0.022160665	1	0	0
1	0	0	0	1	0.024930748	1	0	0
1	0	0	0	1	0.011080332	1	0	0
0	1	0	0	0	0	0	1	0
0	1	0	0	0	0.006463527	0	1	0
1	0	0	0	1	0.261311173	1	0	0
1	0	0	0	1	0.570637119	1	0	0
1	0	0	0	1	0.122807018	1	0	0
1	0	0	0	0	0.072945522	1	0	0
1	0	0	0	1	0.17820868	1	0	0
1	0	0	0	1	0.132040628	1	0	0
0	0	1	0	1	0.05355494	1	0	0
0	1	0	0	0	0.051708218	0	1	0
0	1	0	0	0	0.016620499	0	1	0
0	1	0	0	0	0.012003693	0	1	0
0	1	0	0	0	0.030470914	0	1	0
0	0	0	1	0	0.039704524	0	1	0
0	0	0	1	0	0.058171745	0	1	0
0	0	0	1	1	0.153277932	0	0	1
0	0	0	1	1	0.153277932	0	0	1
0	1	0	0	0	0.00923361	0	1	0
0	0	0	1	0	0.016620499	0	1	0
0	0	0	1	0	0.013850416	0	1	0
0	0	0	1	1	0.048014774	0	1	0
0	0	0	1	1	1	1	0	0
0	1	0	0	1	0.048938135	1	0	0
0	0	0	1	1	0.136657433	0	1	0
0	0	0	1	0	0.072022161	0	1	0
0	0	0	1	0	0.039704524	0	1	0
0	1	0	0	1	0.193905817	1	0	0
